"bird_sp","bird_num","f_key","p_key"
g_aigrette,1,uuid:3002cc25-ab2c-4e58-a9ac-b922e9cd3924,uuid:3002cc25-ab2c-4e58-a9ac-b922e9cd3924/intro_bird/bird_ipa[2]
c_tuber,14,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc/intro_bird/bird_ipa[1]
h_cendre,3,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc/intro_bird/bird_ipa[2]
g_aigrette,2,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc,uuid:613dab71-e5cc-4b33-a460-2d880f2258fc/intro_bird/bird_ipa[3]
cormo,2,uuid:709be16d-e2c0-4f2b-96de-43da0a330203,uuid:709be16d-e2c0-4f2b-96de-43da0a330203/intro_bird/bird_ipa[1]
h_cendre,5,uuid:709be16d-e2c0-4f2b-96de-43da0a330203,uuid:709be16d-e2c0-4f2b-96de-43da0a330203/intro_bird/bird_ipa[2]
g_aigrette,2,uuid:709be16d-e2c0-4f2b-96de-43da0a330203,uuid:709be16d-e2c0-4f2b-96de-43da0a330203/intro_bird/bird_ipa[3]
c_tuber,1,uuid:709be16d-e2c0-4f2b-96de-43da0a330203,uuid:709be16d-e2c0-4f2b-96de-43da0a330203/intro_bird/bird_ipa[4]
h_cendre,4,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124/intro_bird/bird_ipa[1]
g_aigrette,2,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124/intro_bird/bird_ipa[2]
cormo,4,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124/intro_bird/bird_ipa[3]
g_huppe,1,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124,uuid:3faf4fac-b61d-4f9b-9b88-b452ef800124/intro_bird/bird_ipa[4]
g_aigrette,1,uuid:028fc64d-c628-4af2-a91f-6ffd6f04460a,uuid:028fc64d-c628-4af2-a91f-6ffd6f04460a/intro_bird/bird_ipa[1]
h_cendre,1,uuid:028fc64d-c628-4af2-a91f-6ffd6f04460a,uuid:028fc64d-c628-4af2-a91f-6ffd6f04460a/intro_bird/bird_ipa[2]
h_cendre,2,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31/intro_bird/bird_ipa[1]
g_aigrette,2,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31/intro_bird/bird_ipa[2]
c_tuber,3,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31,uuid:5a265cd1-ff66-4706-b68d-eb08f3c51a31/intro_bird/bird_ipa[3]
g_aigrette,1,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc/intro_bird/bird_ipa[1]
h_cendre,3,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc/intro_bird/bird_ipa[2]
c_tuber,2,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc,uuid:10674411-cc59-445e-a2cc-81cd05c1e2dc/intro_bird/bird_ipa[3]
g_aigrette,1,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20/intro_bird/bird_ipa[1]
h_cendre,1,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20/intro_bird/bird_ipa[2]
cormo,1,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20/intro_bird/bird_ipa[3]
c_tuber,6,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20,uuid:771a2fd6-8ace-4669-9c2c-819643c74b20/intro_bird/bird_ipa[4]
c_tuber,2,uuid:617c4c65-43c7-4dfd-adea-44e9b2dc2db5,uuid:617c4c65-43c7-4dfd-adea-44e9b2dc2db5/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:617c4c65-43c7-4dfd-adea-44e9b2dc2db5,uuid:617c4c65-43c7-4dfd-adea-44e9b2dc2db5/intro_bird/bird_ipa[2]
h_cendre,2,uuid:8e851d3b-ba7b-4b09-97b3-cb50b32ef551,uuid:8e851d3b-ba7b-4b09-97b3-cb50b32ef551/intro_bird/bird_ipa[1]
cormo,2,uuid:8e851d3b-ba7b-4b09-97b3-cb50b32ef551,uuid:8e851d3b-ba7b-4b09-97b3-cb50b32ef551/intro_bird/bird_ipa[2]
cormo,25,uuid:5ad39db2-30e3-4358-8198-9ffa91392007,uuid:5ad39db2-30e3-4358-8198-9ffa91392007/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:5ad39db2-30e3-4358-8198-9ffa91392007,uuid:5ad39db2-30e3-4358-8198-9ffa91392007/intro_bird/bird_ipa[2]
h_cendre,4,uuid:5ad39db2-30e3-4358-8198-9ffa91392007,uuid:5ad39db2-30e3-4358-8198-9ffa91392007/intro_bird/bird_ipa[3]
h_cendre,4,uuid:72e016e5-407e-405d-ba32-4df2e25398f0,uuid:72e016e5-407e-405d-ba32-4df2e25398f0/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:72e016e5-407e-405d-ba32-4df2e25398f0,uuid:72e016e5-407e-405d-ba32-4df2e25398f0/intro_bird/bird_ipa[2]
c_blanche,3,uuid:72e016e5-407e-405d-ba32-4df2e25398f0,uuid:72e016e5-407e-405d-ba32-4df2e25398f0/intro_bird/bird_ipa[3]
cormo,4,uuid:72e016e5-407e-405d-ba32-4df2e25398f0,uuid:72e016e5-407e-405d-ba32-4df2e25398f0/intro_bird/bird_ipa[4]
h_cendre,3,uuid:e63e1709-8ff9-4adb-98de-ce7c935fffa6,uuid:e63e1709-8ff9-4adb-98de-ce7c935fffa6/intro_bird/bird_ipa[1]
c_tuber,172,uuid:db1b3adf-f95d-4fcb-a29a-d8e18ab626bf,uuid:db1b3adf-f95d-4fcb-a29a-d8e18ab626bf/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:4356fd32-1a2b-4e94-a481-f8ff4bcc4b5b,uuid:4356fd32-1a2b-4e94-a481-f8ff4bcc4b5b/intro_bird/bird_ipa[1]
h_cendre,2,uuid:2dbbc0d3-ead3-4c15-bc11-5b3bc0c9534b,uuid:2dbbc0d3-ead3-4c15-bc11-5b3bc0c9534b/intro_bird/bird_ipa[1]
h_cendre,11,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626/intro_bird/bird_ipa[1]
g_aigrette,4,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626/intro_bird/bird_ipa[2]
cormo,14,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626/intro_bird/bird_ipa[3]
c_tuber,2,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626,uuid:5fa827c9-b041-44a9-870a-81bca6a5a626/intro_bird/bird_ipa[4]
g_huppe,111,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[1]
m_rieuse,12,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[2]
